"customer_city","payment_type","order_status","average_order_value"
catarina,debit_card,delivered,92.30
barretos,credit_card,invoiced,92.34
simoes filho,voucher,delivered,92.37
floresta,boleto,delivered,92.37
brumadinho,boleto,delivered,92.39
lucelia,boleto,delivered,92.45
paraibano,voucher,delivered,92.45
varginha,debit_card,delivered,92.46
mateus leme,credit_card,canceled,92.50
florida paulista,credit_card,delivered,92.54
morrinhos,voucher,delivered,92.56
indaiatuba,credit_card,shipped,92.57
mato rico,credit_card,delivered,92.65
carmo da cachoeira,credit_card,delivered,92.66
gameleiras,credit_card,delivered,92.68
paranaiguara,credit_card,delivered,92.74
videira,boleto,delivered,92.78
rodeio,boleto,delivered,92.78
colina,boleto,delivered,92.88
itapolis,voucher,delivered,92.90
oliveira dos brejinhos,credit_card,delivered,92.92
turmalina,boleto,delivered,92.92
araucaria,voucher,delivered,92.97
ilha comprida,credit_card,delivered,92.98
itacoatiara,credit_card,delivered,92.98
rio brilhante,voucher,delivered,93.03
dom cavati,credit_card,delivered,93.08
campos dos goytacazes,voucher,delivered,93.08
itatiba,debit_card,delivered,93.10
nhandeara,voucher,delivered,93.12
porto feliz,debit_card,delivered,93.13
itamaraju,voucher,delivered,93.15
euclides da cunha paulista,credit_card,delivered,93.20
guaraniacu,boleto,delivered,93.24
piedade de caratinga,boleto,delivered,93.28
luiziana,credit_card,delivered,93.29
taquarucu do sul,boleto,delivered,93.29
indaial,voucher,delivered,93.30
porto velho,credit_card,processing,93.32
santa mariana,credit_card,delivered,93.34
contagem,boleto,delivered,93.36
espirito santo do pinhal,boleto,delivered,93.36
julio de castilhos,boleto,delivered,93.37
dom basilio,credit_card,delivered,93.38
miguel pereira,boleto,delivered,93.39
coribe,credit_card,delivered,93.46
maristela,boleto,delivered,93.50
pesqueira,boleto,delivered,93.50
rio brilhante,boleto,delivered,93.52
maua,credit_card,shipped,93.56
iaras,boleto,delivered,93.57
ilha dos valadares,credit_card,delivered,93.59
capim branco,credit_card,delivered,93.59
santa monica,credit_card,delivered,93.62
itauna,debit_card,delivered,93.62
joao ramalho,boleto,delivered,93.64
iracema,credit_card,delivered,93.66
peixoto de azevedo,boleto,delivered,93.70
balneario pinhal,boleto,delivered,93.71
aragarcas,credit_card,delivered,93.73
paulinia,boleto,shipped,93.79
cubati,credit_card,delivered,93.80
santana do manhuacu,credit_card,delivered,93.81
santana,debit_card,delivered,93.83
senador canedo,credit_card,delivered,93.86
itanhomi,credit_card,delivered,93.88
ibotirama,boleto,delivered,93.88
juruena,credit_card,delivered,93.88
duque de caxias,credit_card,shipped,93.90
papanduva,boleto,delivered,93.91
cajuru,credit_card,delivered,93.92
aracariguama,credit_card,delivered,93.95
nepomuceno,credit_card,delivered,93.96
sao miguel do tapuio,credit_card,invoiced,93.97
guajara-mirim,credit_card,delivered,93.97
alagoa,credit_card,delivered,93.98
mogi das cruzes,debit_card,delivered,94.01
ilheus,boleto,delivered,94.01
ibaiti,boleto,delivered,94.02
correntina,credit_card,delivered,94.06
santo cristo,credit_card,delivered,94.09
almirante tamandare,boleto,delivered,94.12
monte alegre de minas,credit_card,delivered,94.20
vitoria,voucher,delivered,94.20
nova iguacu,credit_card,processing,94.21
boa esperanca do sul,boleto,delivered,94.23
presidente tancredo neves,credit_card,delivered,94.25
sao mateus,boleto,delivered,94.27
divinopolis de goias,credit_card,delivered,94.30
sao joao batista,voucher,delivered,94.31
sao miguel arcanjo,boleto,delivered,94.32
itapecerica da serra,voucher,delivered,94.32
rio de janeiro,voucher,shipped,94.36
rio branco,credit_card,shipped,94.37
salvador,credit_card,canceled,94.40
cachoeiro de itapemirim,voucher,delivered,94.40
joviania,credit_card,delivered,94.42
embu das artes,debit_card,delivered,94.44
colonia vitoria,boleto,delivered,94.46
japeri,boleto,delivered,94.47
marinopolis,credit_card,delivered,94.49
praia grande,credit_card,canceled,94.54
maragogipe,boleto,delivered,94.56
divinolandia,credit_card,delivered,94.56
capinzal,debit_card,delivered,94.58
urussanga,credit_card,delivered,94.62
mari,debit_card,delivered,94.65
rodeiro,boleto,delivered,94.67
laguna,boleto,delivered,94.70
vargem alegre,credit_card,delivered,94.71
utinga,credit_card,shipped,94.74
igarape-acu,credit_card,delivered,94.76
araraquara,credit_card,canceled,94.77
uibai,boleto,delivered,94.77
ribeirao pires,voucher,delivered,94.81
natal,boleto,shipped,94.83
joinville,debit_card,delivered,94.84
capitolio,credit_card,delivered,94.84
ituporanga,voucher,delivered,94.84
cicero dantas,voucher,delivered,94.89
sananduva,credit_card,delivered,94.90
santa vitoria do palmar,boleto,delivered,94.98
volta grande,credit_card,delivered,94.99
urandi,boleto,delivered,94.99
sapezal,boleto,delivered,94.99
jacarei,boleto,delivered,94.99
santa salete,credit_card,delivered,95.00
coxim,boleto,delivered,95.00
nova prata,credit_card,delivered,95.01
rio branco do sul,credit_card,delivered,95.03
rio piracicaba,credit_card,delivered,95.05
ivaipora,credit_card,delivered,95.12
nazareno,credit_card,delivered,95.13
mossoro,boleto,delivered,95.16
monte alegre,credit_card,delivered,95.20
nova erechim,boleto,delivered,95.21
piracicaba,boleto,processing,95.21
ladario,credit_card,shipped,95.21
aracariguama,credit_card,processing,95.23
prata,boleto,delivered,95.25
cambe,boleto,delivered,95.26
palmeira d'oeste,credit_card,delivered,95.29
trajano de moraes,boleto,delivered,95.30
maceio,credit_card,processing,95.31
perobal,credit_card,delivered,95.31
belo horizonte,boleto,invoiced,95.34
sao domingos,boleto,delivered,95.37
mage,boleto,delivered,95.37
mimoso do sul,credit_card,delivered,95.42
esteio,boleto,delivered,95.42
chavantes,credit_card,delivered,95.43
caiaponia,credit_card,delivered,95.47
caceres,boleto,delivered,95.51
sao domingos,credit_card,delivered,95.55
hortolandia,credit_card,shipped,95.57
auriflama,credit_card,delivered,95.61
paranaiba,voucher,delivered,95.64
boquira,credit_card,delivered,95.67
araponga,boleto,delivered,95.67
chapadinha,boleto,delivered,95.69
posto da mata,boleto,delivered,95.70
urania,boleto,delivered,95.72
ipiranga,voucher,delivered,95.74
coxilha,credit_card,delivered,95.75
aracatu,credit_card,delivered,95.76
farroupilha,boleto,delivered,95.76
apucarana,voucher,delivered,95.76
brauna,credit_card,delivered,95.76
barrolandia,boleto,delivered,95.77
primavera,boleto,delivered,95.78
mangaratiba,credit_card,delivered,95.80
campos belos,boleto,delivered,95.81
imbituva,boleto,delivered,95.81
sao miguel arcanjo,voucher,delivered,95.91
sao francisco,boleto,delivered,95.91
passo de torres,credit_card,delivered,95.92
teodoro sampaio,boleto,delivered,95.92
toledo,boleto,delivered,95.94
rio paranaiba,credit_card,delivered,95.95
sao cristovao,credit_card,delivered,95.95
itapaci,credit_card,shipped,95.98
turvolandia,boleto,delivered,95.99
rio pardo de minas,voucher,delivered,95.99
itutinga,credit_card,delivered,96.01
peritiba,credit_card,delivered,96.02
chapeco,debit_card,delivered,96.02
teresina,debit_card,delivered,96.04
pedra do indaia,boleto,delivered,96.08
ubirajara,credit_card,delivered,96.09
carvalhopolis,credit_card,delivered,96.11
fazenda vilanova,credit_card,delivered,96.11
vinhedo,credit_card,invoiced,96.12
bom jesus da lapa,boleto,delivered,96.13
nova petropolis,voucher,delivered,96.20
rio doce,credit_card,delivered,96.20
olaria,credit_card,delivered,96.22
campo azul,credit_card,delivered,96.22
mostardas,voucher,delivered,96.23
caxias do sul,boleto,invoiced,96.24
jandira,debit_card,delivered,96.28
pirapo,credit_card,delivered,96.29
itapipoca,voucher,delivered,96.32
foz do iguacu,credit_card,shipped,96.32
sorocaba,credit_card,invoiced,96.33
serrana,boleto,delivered,96.41
coromandel,voucher,delivered,96.41
conceicao do castelo,boleto,delivered,96.43
ibipitanga,boleto,delivered,96.44
vassouras,voucher,delivered,96.47
taquara,boleto,delivered,96.49
careacu,boleto,delivered,96.49
manhumirim,boleto,delivered,96.57
sao pedro da uniao,boleto,delivered,96.59
pimenteiras,credit_card,delivered,96.61
iraquara,boleto,delivered,96.62
presidente epitacio,boleto,delivered,96.62
restinga seca,boleto,delivered,96.63
pontal,credit_card,delivered,96.63
guaraniacu,credit_card,delivered,96.65
agua comprida,credit_card,delivered,96.65
vilhena,debit_card,delivered,96.65
monte castelo,credit_card,delivered,96.65
carmo,credit_card,shipped,96.65
sao sebastiao da boa vista,credit_card,delivered,96.65
sapopema,credit_card,delivered,96.66
medeiros neto,boleto,delivered,96.66
ilhabela,boleto,delivered,96.74
teixeiras,credit_card,delivered,96.75
inhapim,credit_card,delivered,96.76
santa rita da floresta,credit_card,delivered,96.80
teresina de goias,credit_card,delivered,96.80
sao roque do canaa,credit_card,delivered,96.83
sabinopolis,credit_card,delivered,96.86
parai,credit_card,delivered,96.87
santa fe do sul,boleto,delivered,96.88
satubinha,debit_card,delivered,96.95
cururupu,boleto,delivered,96.96
itapaci,credit_card,delivered,96.97
araguaina,boleto,processing,96.98
castanhal,boleto,delivered,97.02
jarinu,credit_card,delivered,97.03
sao manuel,boleto,delivered,97.04
duque de caxias,credit_card,invoiced,97.12
campo grande,credit_card,processing,97.12
americana,voucher,delivered,97.13
santo antonio do monte,boleto,delivered,97.14
sao jose do turvo,credit_card,delivered,97.15
anta,credit_card,delivered,97.18
nova canaa do norte,credit_card,delivered,97.18
mallet,boleto,delivered,97.18
jambeiro,boleto,delivered,97.19
barras,credit_card,delivered,97.23
jacui,credit_card,delivered,97.29
conceicao do jacuipe,credit_card,delivered,97.30
bambui,credit_card,delivered,97.31
juara,boleto,delivered,97.36
anage,boleto,delivered,97.38
ico,boleto,delivered,97.42
concordia,boleto,delivered,97.42
sao joaquim da barra,boleto,delivered,97.47
taquarituba,credit_card,delivered,97.50
lagoa formosa,boleto,delivered,97.52
sao gotardo,debit_card,delivered,97.55
guaramirim,boleto,delivered,97.62
rincao,credit_card,delivered,97.63
mirinzal,debit_card,delivered,97.66
antonio martins,credit_card,delivered,97.67
jesupolis,credit_card,delivered,97.67
porto ferreira,boleto,delivered,97.67
brasilia,debit_card,delivered,97.73
belo horizonte,boleto,canceled,97.80
porangaba,credit_card,delivered,97.82
jacutinga,voucher,delivered,97.87
nossa senhora da gloria,boleto,delivered,97.87
maceio,boleto,shipped,97.87
pastos bons,boleto,delivered,97.87
agudos,credit_card,delivered,97.87
sao jose,debit_card,delivered,97.94
alvinopolis,credit_card,delivered,97.98
igrejinha,credit_card,delivered,98.01
uruguaiana,boleto,delivered,98.05
nova veneza,boleto,delivered,98.12
tres forquilhas,credit_card,delivered,98.13
seropedica,debit_card,delivered,98.14
urucuca,boleto,delivered,98.14
ewbank da camara,credit_card,delivered,98.16
biritiba-mirim,boleto,delivered,98.18
itabatan,credit_card,delivered,98.20
maravilha,credit_card,delivered,98.22
guaira,voucher,delivered,98.23
ouro verde de goias,credit_card,delivered,98.23
santos dumont,credit_card,delivered,98.29
colatina,debit_card,delivered,98.34
nova palma,boleto,delivered,98.34
florianopolis,boleto,shipped,98.46
remanso,boleto,delivered,98.46
timbauba,boleto,delivered,98.49
brasilandia de minas,credit_card,delivered,98.49
lupercio,boleto,delivered,98.51
sao jose do rio preto,credit_card,processing,98.51
sao goncalo do abaete,credit_card,delivered,98.51
goiania,voucher,shipped,98.55
ponto belo,credit_card,delivered,98.56
arapoema,boleto,delivered,98.57
terra roxa,credit_card,delivered,98.59
cachoeiro de itapemirim,boleto,delivered,98.65
coronel freitas,credit_card,delivered,98.65
saudade do iguacu,credit_card,delivered,98.66
valparaiso,credit_card,delivered,98.66
campo ere,voucher,delivered,98.67
taubate,credit_card,invoiced,98.69
cotia,voucher,delivered,98.78
nova prata do iguacu,credit_card,delivered,98.83
sao miguel do oeste,boleto,delivered,98.83
capitao eneas,credit_card,delivered,98.84
mafra,voucher,delivered,98.87
santa teresa,credit_card,delivered,98.90
jaboticabal,boleto,delivered,98.99
ubatuba,voucher,delivered,99.00
sao pedro da aldeia,boleto,delivered,99.03
cidade ocidental,credit_card,delivered,99.06
pedra azul,credit_card,delivered,99.06
dom eliseu,credit_card,delivered,99.07
prados,credit_card,delivered,99.07
alem paraiba,boleto,delivered,99.09
pereira barreto,boleto,delivered,99.10
carnaiba do sertao,credit_card,delivered,99.10
pedro velho,credit_card,delivered,99.11
barao do triunfo,credit_card,delivered,99.14
matozinhos,boleto,delivered,99.14
vitoria do mearim,credit_card,shipped,99.15
filadelfia,credit_card,delivered,99.16
barretos,debit_card,delivered,99.16
rio claro,boleto,delivered,99.18
maravilhas,credit_card,delivered,99.21
varzelandia,voucher,delivered,99.22
goncalves dias,boleto,delivered,99.25
emilianopolis,credit_card,delivered,99.25
severinia,boleto,delivered,99.26
porto belo,boleto,delivered,99.27
perdoes,credit_card,delivered,99.27
poco fundo,credit_card,delivered,99.28
brauna,boleto,delivered,99.33
varzea alegre,credit_card,delivered,99.33
itatiaia,voucher,delivered,99.33
macambara,boleto,delivered,99.34
sao gabriel,boleto,delivered,99.36
arvorezinha,boleto,delivered,99.40
querencia do norte,credit_card,delivered,99.43
sao domingos do norte,boleto,delivered,99.49
nova granada,boleto,delivered,99.50
cocal do sul,credit_card,delivered,99.52
registro,boleto,delivered,99.53
sao luis,credit_card,shipped,99.58
carapebus,credit_card,delivered,99.60
piedade de caratinga,voucher,delivered,99.60
sao joao do manhuacu,credit_card,delivered,99.63
angulo,credit_card,delivered,99.63
itupeva,debit_card,delivered,99.64
sooretama,boleto,delivered,99.64
tupi paulista,voucher,delivered,99.70
cruz das almas,voucher,delivered,99.70
general carneiro,credit_card,delivered,99.70
pedro de toledo,credit_card,delivered,99.74
jardim,boleto,delivered,99.75
nova fatima,boleto,delivered,99.75
tapes,credit_card,delivered,99.80
dourados,debit_card,delivered,99.81
franco da rocha,boleto,delivered,99.81
cordeiropolis,boleto,delivered,99.81
sideropolis,credit_card,delivered,99.87
caridade,credit_card,delivered,99.90
coronel pacheco,credit_card,delivered,99.90
palotina,boleto,delivered,99.90
sao vicente,debit_card,delivered,99.90
aiuruoca,credit_card,delivered,99.91
chavantes,boleto,delivered,99.92
pirenopolis,credit_card,delivered,99.92
sao sebastiao do passe,boleto,delivered,99.94
itarema,voucher,delivered,99.95
general salgado,credit_card,delivered,100.00
borborema,credit_card,delivered,100.03
bom repouso,boleto,delivered,100.11
quixelo,boleto,delivered,100.13
xambioa,boleto,delivered,100.13
guarulhos,boleto,invoiced,100.20
cruzeiro,boleto,delivered,100.23
sumidouro,boleto,delivered,100.24
luz,credit_card,delivered,100.27
araquari,credit_card,delivered,100.30
nova esperanca do sudoeste,boleto,delivered,100.33
assis chateaubriand,voucher,delivered,100.33
major porto,boleto,delivered,100.33
machado,voucher,delivered,100.34
botuvera,boleto,delivered,100.34
guaranesia,voucher,delivered,100.34
ataleia,boleto,delivered,100.35
novo cruzeiro,credit_card,delivered,100.39
pitangueiras,boleto,delivered,100.43
regeneracao,boleto,delivered,100.43
guairaca,credit_card,delivered,100.44
ascurra,credit_card,delivered,100.47
maragogipe,credit_card,delivered,100.48
volta redonda,voucher,delivered,100.60
tijucas,voucher,delivered,100.61
coronel vivida,voucher,delivered,100.64
santa cruz do rio pardo,credit_card,delivered,100.65
guararapes,credit_card,delivered,100.67
capao da porteira,debit_card,delivered,100.69
lajedo,credit_card,shipped,100.72
santa quiteria do maranhao,credit_card,delivered,100.75
garuva,voucher,delivered,100.75
ribeiropolis,boleto,delivered,100.77
jaguariaiva,voucher,delivered,100.84
ituiutaba,credit_card,shipped,100.89
senador guiomard,debit_card,delivered,100.91
sao joao do triunfo,credit_card,delivered,100.91
pouso alto,credit_card,delivered,100.94
patu,credit_card,delivered,100.96
maribondo,credit_card,delivered,100.97
itapipoca,boleto,delivered,101.01
caiua,credit_card,delivered,101.14
santo antonio de jesus,voucher,delivered,101.15
condor,credit_card,delivered,101.15
braco do norte,boleto,delivered,101.16
renascenca,credit_card,delivered,101.18
brodowski,credit_card,canceled,101.19
orlandia,voucher,delivered,101.25
miracema,credit_card,delivered,101.26
antonio carlos,voucher,delivered,101.26
vila nova do sul,credit_card,delivered,101.34
piranhas,boleto,delivered,101.34
aracuai,boleto,delivered,101.34
quatis,boleto,delivered,101.37
cocalinho,boleto,delivered,101.44
itapecerica da serra,debit_card,delivered,101.44
seberi,credit_card,delivered,101.45
abaira,credit_card,delivered,101.50
catarina,credit_card,delivered,101.50
sao joao evangelista,boleto,delivered,101.51
tres marias,credit_card,delivered,101.56
rio casca,credit_card,delivered,101.56
recife,voucher,delivered,101.59
romaria,credit_card,delivered,101.61
cristalandia,credit_card,delivered,101.62
guarulhos,voucher,canceled,101.62
medianeira,boleto,delivered,101.69
belford roxo,voucher,delivered,101.70
santo antonio do jacinto,credit_card,delivered,101.70
santo antonio do monte,voucher,delivered,101.74
cacador,boleto,delivered,101.76
angicos,credit_card,delivered,101.77
vespasiano,boleto,delivered,101.78
nova odessa,credit_card,shipped,101.80
paulista,voucher,delivered,101.81
mae do rio,credit_card,delivered,101.81
miracatu,boleto,delivered,101.86
sao luis do quitunde,credit_card,delivered,101.88
cajamar,credit_card,shipped,101.92
mirassol d'oeste,boleto,delivered,101.94
riversul,credit_card,delivered,102.03
sao jose dos campos,credit_card,processing,102.06
santa cruz de monte castelo,boleto,delivered,102.09
vila velha,voucher,delivered,102.14
senador firmino,credit_card,delivered,102.17
bebedouro,voucher,delivered,102.18
sertao,boleto,delivered,102.20
caieiras,debit_card,delivered,102.23
timoteo,credit_card,canceled,102.26
tupa,debit_card,delivered,102.27
adustina,credit_card,delivered,102.27
campo mourao,boleto,delivered,102.28
pedras de fogo,credit_card,delivered,102.32
sao joao batista,boleto,delivered,102.32
santa rita do sapucai,boleto,delivered,102.32
congonhas,boleto,delivered,102.35
cachoeira do sul,debit_card,delivered,102.35
garibaldi,credit_card,delivered,102.41
alcobaca,boleto,delivered,102.48
senador salgado filho,credit_card,delivered,102.49
bady bassitt,credit_card,delivered,102.54
pitangueiras,credit_card,delivered,102.56
umbauba,boleto,delivered,102.63
lorena,credit_card,delivered,102.65
rancho alegre,credit_card,delivered,102.66
maceio,debit_card,delivered,102.68
barbacena,voucher,delivered,102.68
batalha,credit_card,delivered,102.70
sao jose do inhacora,credit_card,delivered,102.70
jau,boleto,delivered,102.73
jaragua,credit_card,delivered,102.75
rio dos indios,credit_card,delivered,102.75
dezesseis de novembro,credit_card,delivered,102.75
cacequi,boleto,delivered,102.76
sao paulo,debit_card,delivered,102.84
coronel vivida,credit_card,delivered,102.84
castro,voucher,delivered,102.86
aguas da prata,boleto,delivered,102.89
cocal,voucher,delivered,102.94
cordeiro,boleto,delivered,102.95
arealva,credit_card,canceled,102.96
sananduva,boleto,delivered,103.00
pinheiros,boleto,delivered,103.13
mariapolis,credit_card,delivered,103.14
santaluz,boleto,delivered,103.15
cotegipe,credit_card,delivered,103.15
carmo do rio verde,boleto,delivered,103.16
mateus leme,credit_card,delivered,103.17
montenegro,boleto,delivered,103.17
porciuncula,voucher,delivered,103.26
goiania,boleto,shipped,103.27
pecanha,credit_card,canceled,103.27
palmares do sul,credit_card,delivered,103.28
jacarezinho,credit_card,processing,103.29
tres passos,boleto,delivered,103.31
sao gabriel do oeste,credit_card,delivered,103.31
campos dos goytacazes,debit_card,delivered,103.36
sao paulo das missoes,boleto,delivered,103.36
balneario gaivota,credit_card,delivered,103.40
fazenda rio grande,boleto,delivered,103.41
caxambu,boleto,delivered,103.44
jambeiro,credit_card,delivered,103.46
tupancireta,credit_card,delivered,103.53
balneario camboriu,debit_card,delivered,103.59
matrincha,credit_card,delivered,103.59
muriae,debit_card,delivered,103.60
extrema,voucher,delivered,103.66
portao,boleto,delivered,103.67
teodoro sampaio,credit_card,delivered,103.72
novo brasil,credit_card,delivered,103.75
ibiruba,boleto,delivered,103.77
ibirama,credit_card,delivered,103.81
rio grande da serra,debit_card,canceled,103.85
ibimirim,credit_card,delivered,103.91
camboriu,boleto,delivered,103.93
ipatinga,debit_card,delivered,103.94
acaiaca,credit_card,delivered,103.95
sao francisco do sul,boleto,delivered,103.98
aracatuba,debit_card,delivered,103.98
sao mateus,debit_card,delivered,103.99
campo bom,voucher,delivered,104.00
anastacio,credit_card,delivered,104.05
mogi das cruzes,voucher,delivered,104.12
moju,credit_card,delivered,104.12
celina,boleto,delivered,104.12
tupa,boleto,delivered,104.18
pirapozinho,credit_card,delivered,104.23
florai,credit_card,delivered,104.26
maua,boleto,delivered,104.31
tangara da serra,credit_card,shipped,104.34
porto acre,credit_card,delivered,104.35
macaparana,credit_card,delivered,104.36
mato leitao,voucher,delivered,104.37
taparuba,credit_card,delivered,104.37
rio das flores,credit_card,delivered,104.41
carai,credit_card,delivered,104.45
perola independente,boleto,delivered,104.46
serra,boleto,delivered,104.49
inconfidentes,credit_card,delivered,104.49
aguas mornas,credit_card,delivered,104.52
cachoeira da prata,credit_card,delivered,104.54
barra mansa,credit_card,canceled,104.60
contenda,credit_card,delivered,104.61
coluna,boleto,delivered,104.61
goitacazes,credit_card,delivered,104.64
espigao alto do iguacu,credit_card,delivered,104.66
rodeio,voucher,delivered,104.70
resende costa,credit_card,delivered,104.71
santa brigida,boleto,delivered,104.73
iturama,boleto,delivered,104.77
sao romao,credit_card,delivered,104.81
fatima,boleto,delivered,104.87
vilhena,boleto,delivered,104.89
piedade,credit_card,delivered,104.90
raul soares,boleto,delivered,105.03
junco do serido,credit_card,delivered,105.04
nova canaa,credit_card,delivered,105.04
vitoria da conquista,voucher,delivered,105.13
carazinho,credit_card,delivered,105.16
araxa,credit_card,canceled,105.17
maragogi,boleto,delivered,105.20
ruy barbosa,boleto,delivered,105.22
planaltina,credit_card,delivered,105.22
roque gonzales,credit_card,delivered,105.23
jacarezinho,credit_card,delivered,105.25
panelas,credit_card,delivered,105.25
pedras altas,credit_card,delivered,105.28
jaupaci,credit_card,delivered,105.28
estrela do sul,boleto,delivered,105.28
ilicinea,boleto,delivered,105.28
jaguare,boleto,shipped,105.28
braunas,credit_card,delivered,105.28
buritizeiro,boleto,delivered,105.28
goias,voucher,delivered,105.28
palmares do sul,boleto,delivered,105.28
jari,credit_card,delivered,105.30
virginopolis,credit_card,delivered,105.30
campo bonito,credit_card,invoiced,105.30
dois vizinhos,credit_card,delivered,105.30
barueri,credit_card,invoiced,105.30
campo verde,credit_card,delivered,105.32
ouro verde,boleto,delivered,105.32
vitorinos,credit_card,delivered,105.37
britania,credit_card,delivered,105.37
alfenas,debit_card,delivered,105.37
ibiapina,debit_card,delivered,105.39
barretos,boleto,delivered,105.40
contagem,voucher,delivered,105.40
sangao,credit_card,delivered,105.42
guariba,boleto,delivered,105.43
anita garibaldi,credit_card,delivered,105.43
chapada,boleto,delivered,105.45
vargem grande do sul,credit_card,processing,105.47
nova serrana,boleto,delivered,105.47
campina das missoes,credit_card,delivered,105.50
pinheiral,boleto,delivered,105.51
jaguarao,boleto,delivered,105.52
bastos,voucher,delivered,105.53
jaguaquara,credit_card,delivered,105.56
bom jesus,debit_card,delivered,105.62
erechim,debit_card,delivered,105.64
elias fausto,boleto,delivered,105.66
jacarei,voucher,delivered,105.67
arapoti,boleto,delivered,105.68
mirinzal,boleto,delivered,105.71
campina grande do sul,credit_card,shipped,105.74
paraju,credit_card,delivered,105.74
bicas,credit_card,delivered,105.78
serafina correa,credit_card,delivered,105.78
barra do corda,debit_card,delivered,105.80
iraquara,credit_card,delivered,105.80
ribeira do pombal,credit_card,delivered,105.87
colinas,boleto,delivered,105.93
mineiros,boleto,delivered,105.95
remanso,credit_card,delivered,105.97
itiuba,credit_card,delivered,105.97
eunapolis,voucher,delivered,105.97
sao joao de meriti,voucher,delivered,105.98
campos dos goytacazes,boleto,delivered,106.04
jatauba,credit_card,delivered,106.06
pedralva,voucher,delivered,106.06
entre folhas,credit_card,delivered,106.07
paraopeba,credit_card,delivered,106.09
santa cruz das palmeiras,credit_card,delivered,106.09
extrema,boleto,delivered,106.14
rancharia,boleto,invoiced,106.16
taboao da serra,boleto,shipped,106.16
campos do jordao,credit_card,delivered,106.18
juquia,credit_card,delivered,106.20
barra mansa,boleto,delivered,106.22
coronel sapucaia,boleto,delivered,106.23
redencao da serra,credit_card,delivered,106.23
colorado,voucher,delivered,106.23
sao domingos do prata,credit_card,delivered,106.25
alegrete,boleto,delivered,106.25
novo hamburgo,voucher,delivered,106.26
matoes,boleto,delivered,106.30
buri,credit_card,delivered,106.31
sao jose do hortencio,voucher,delivered,106.37
lagoa do piaui,credit_card,delivered,106.38
macambara,credit_card,delivered,106.38
aratiba,voucher,delivered,106.49
agua branca,credit_card,delivered,106.51
santo antonio de padua,boleto,delivered,106.53
barrinha,boleto,delivered,106.53
nova venecia,boleto,delivered,106.57
francisco beltrao,boleto,delivered,106.68
nao-me-toque,boleto,delivered,106.70
arcoverde,voucher,delivered,106.71
candeias,credit_card,delivered,106.73
guaraciaba,credit_card,delivered,106.77
caete,boleto,delivered,106.79
caninde,boleto,delivered,106.81
pontal do parana,boleto,delivered,106.82
marmeleiro,credit_card,delivered,106.83
messias targino,boleto,delivered,106.85
frecheirinha,credit_card,delivered,106.86
tunas do parana,boleto,delivered,106.87
itapecerica,debit_card,delivered,106.87
general camara,voucher,delivered,106.87
vanini,credit_card,delivered,106.87
guimarania,credit_card,delivered,106.87
coronel domingos soares,credit_card,delivered,106.87
monte castelo,debit_card,delivered,106.89
amaraji,boleto,delivered,106.90
oeiras,boleto,delivered,106.91
conchas,credit_card,canceled,106.92
paracatu,voucher,delivered,106.94
jaboatao dos guararapes,credit_card,canceled,106.98
lagoa de sao francisco,credit_card,delivered,107.02
mairinque,boleto,delivered,107.03
orizona,credit_card,delivered,107.06
jundiai,voucher,canceled,107.10
catanduva,boleto,delivered,107.11
itapira,debit_card,delivered,107.12
carmo,boleto,delivered,107.17
santo antonio de jesus,debit_card,delivered,107.17
aparecida de goiania,voucher,delivered,107.21
balneario picarras,credit_card,processing,107.22
jandira,credit_card,delivered,107.23
saudades,boleto,delivered,107.24
tomazina,boleto,delivered,107.27
patos de minas,boleto,delivered,107.29
serrinha,boleto,delivered,107.30
anicuns,credit_card,delivered,107.31
guaxupe,boleto,delivered,107.34
sao felix do xingu,boleto,delivered,107.35
chapeco,boleto,shipped,107.38
gaucha do norte,boleto,delivered,107.47
medina,credit_card,delivered,107.49
ibirite,voucher,delivered,107.50
fonseca,credit_card,delivered,107.53
ribeirao pires,credit_card,delivered,107.54
frederico westphalen,boleto,delivered,107.56
senador canedo,boleto,delivered,107.61
diamantina,credit_card,delivered,107.65
caetanopolis,credit_card,delivered,107.65
brasilia,boleto,shipped,107.66
capinopolis,boleto,delivered,107.67
balneario arroio do silva,credit_card,delivered,107.72
santa barbara d'oeste,debit_card,delivered,107.75
nova alvorada,credit_card,delivered,107.76
guapirama,voucher,delivered,107.78
icem,credit_card,delivered,107.78
atilio vivacqua,credit_card,delivered,107.78
agua clara,credit_card,delivered,107.78
duque de caxias,voucher,shipped,107.78
santa leopoldina,credit_card,delivered,107.78
francisco dumont,voucher,delivered,107.78
lunardelli,boleto,delivered,107.78
santa albertina,boleto,delivered,107.79
conchal,boleto,delivered,107.79
motuca,credit_card,delivered,107.80
aguas lindas de goias,credit_card,delivered,107.82
teutonia,boleto,delivered,107.83
joao pinheiro,boleto,delivered,107.86
marilena,boleto,delivered,107.87
paranaiguara,boleto,delivered,107.87
cruz alta,voucher,delivered,107.94
sao joaquim do monte,credit_card,delivered,107.95
sao roque,credit_card,invoiced,107.96
campos gerais,boleto,canceled,108.00
pocinhos,credit_card,delivered,108.00
ipojuca,credit_card,delivered,108.02
jatoba,credit_card,processing,108.02
bom conselho,boleto,delivered,108.02
pilar do sul,credit_card,delivered,108.03
itaquaquecetuba,boleto,delivered,108.05
sao luiz gonzaga,boleto,delivered,108.09
resplendor,credit_card,delivered,108.10
descalvado,credit_card,delivered,108.11
