"customer_city","payment_type","order_status","average_order_value"
sao valentim,boleto,delivered,34.00
sao goncalo,voucher,shipped,34.00
itupeva,credit_card,shipped,34.00
missal,boleto,delivered,34.00
ocaucu,boleto,delivered,34.00
jardim abc de goias,credit_card,delivered,34.09
francisco dumont,credit_card,delivered,34.09
santo antonio da platina,boleto,delivered,34.09
rio acima,voucher,delivered,34.27
santa teresa,voucher,delivered,34.39
rio azul,boleto,delivered,34.52
santa isabel,voucher,delivered,34.56
caxambu do sul,credit_card,delivered,34.60
bauru,credit_card,shipped,34.69
bonfim,boleto,delivered,34.71
nova luzitania,credit_card,delivered,34.75
brejolandia,credit_card,delivered,34.78
jacuipe,credit_card,delivered,34.78
nova independencia,credit_card,delivered,34.86
juranda,boleto,delivered,34.97
pinhal da serra,credit_card,delivered,35.00
presidente castello branco,boleto,delivered,35.00
concordia,voucher,delivered,35.00
ivai,boleto,delivered,35.05
monte mor,credit_card,canceled,35.09
palmeira das missoes,voucher,delivered,35.09
rio manso,boleto,delivered,35.09
coqueiro baixo,boleto,delivered,35.09
cuite velho,credit_card,delivered,35.09
santanesia,voucher,delivered,35.10
itamarandiba,debit_card,delivered,35.18
presidente kubitschek,boleto,delivered,35.22
lindoeste,credit_card,delivered,35.40
silvianopolis,boleto,delivered,35.40
cajuru,boleto,delivered,35.42
cianorte,debit_card,delivered,35.68
riachinho,boleto,delivered,35.76
figueiropolis d'oeste,credit_card,delivered,35.78
ilheus,credit_card,processing,35.79
desterro do melo,boleto,delivered,35.86
faxinalzinho,boleto,delivered,35.95
santo andre,boleto,canceled,35.96
cumari,credit_card,delivered,36.00
irai,debit_card,delivered,36.01
luziania,voucher,delivered,36.05
corumbaiba,boleto,delivered,36.10
rio das ostras,credit_card,invoiced,36.10
sao carlos,debit_card,delivered,36.13
campanha,voucher,delivered,36.22
araujos,boleto,delivered,36.28
ponto dos volantes,credit_card,delivered,36.29
blumenau,credit_card,canceled,36.32
panorama,boleto,delivered,36.35
marituba,boleto,invoiced,36.43
conceicao das pedras,boleto,delivered,36.45
pompeu,boleto,delivered,36.48
marica,credit_card,shipped,36.69
nova redencao,boleto,delivered,36.69
santo amaro,voucher,delivered,36.69
rio de contas,debit_card,delivered,36.69
joao dourado,boleto,delivered,36.69
lupercio,credit_card,delivered,36.80
jussara,boleto,delivered,36.84
firminopolis,boleto,delivered,36.95
duas barras,credit_card,delivered,36.95
pato bragado,credit_card,delivered,37.00
corumbatai,credit_card,delivered,37.07
sao vendelino,credit_card,delivered,37.09
vale do sol,credit_card,delivered,37.09
vista alegre,boleto,delivered,37.10
pareci novo,credit_card,delivered,37.10
montes claros,debit_card,delivered,37.25
padre bernardo,boleto,delivered,37.40
osasco,debit_card,shipped,37.46
rio grande da serra,boleto,delivered,37.48
sao sebastiao da grama,boleto,delivered,37.75
pariquera-acu,voucher,delivered,37.78
paulo afonso,voucher,delivered,37.78
roseira,boleto,delivered,37.79
joaquim pires,boleto,delivered,37.81
capanema,boleto,delivered,37.82
maracai,boleto,delivered,37.83
porecatu,debit_card,delivered,37.83
lorena,debit_card,delivered,37.84
